Year,113 Cause Name,Cause Name,State,Deaths,Age-adjusted Death Rate
2009,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Kansas,1273,42.9
2011,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Utah,1058,42.9
2016,Chronic lower respiratory diseases (J40-J47),CLRD,Louisiana,2221,43.0
2013,Chronic lower respiratory diseases (J40-J47),CLRD,Oregon,2029,43.0
2010,Chronic lower respiratory diseases (J40-J47),CLRD,Texas,8921,43.0
2003,Cerebrovascular diseases (I60-I69),Stroke,New Hampshire,536,43.0
2016,Cerebrovascular diseases (I60-I69),Stroke,North Carolina,4940,43.0
2014,Cerebrovascular diseases (I60-I69),Stroke,North Carolina,4702,43.0
2005,Cerebrovascular diseases (I60-I69),Stroke,North Dakota,368,43.0
2015,Cerebrovascular diseases (I60-I69),Stroke,Oklahoma,1881,43.0
2014,Cerebrovascular diseases (I60-I69),Stroke,Oklahoma,1847,43.0
2012,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,North Carolina,4281,43.0
2010,Chronic lower respiratory diseases (J40-J47),CLRD,Arizona,2926,43.1
1999,Chronic lower respiratory diseases (J40-J47),CLRD,Florida,9131,43.1
2011,Chronic lower respiratory diseases (J40-J47),CLRD,New Hampshire,650,43.1
2010,Chronic lower respiratory diseases (J40-J47),CLRD,North Dakota,356,43.1
2002,Chronic lower respiratory diseases (J40-J47),CLRD,Vermont,276,43.1
2001,Chronic lower respiratory diseases (J40-J47),CLRD,Virginia,2744,43.1
2003,Cerebrovascular diseases (I60-I69),Stroke,New Jersey,3966,43.1
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Colorado,1812,43.1
2010,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Florida,8875,43.1
2013,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Indiana,2898,43.1
2008,Chronic lower respiratory diseases (J40-J47),CLRD,Illinois,5602,43.2
1999,Chronic lower respiratory diseases (J40-J47),CLRD,Illinois,5155,43.2
2015,Chronic lower respiratory diseases (J40-J47),CLRD,Louisiana,2178,43.2
2001,Chronic lower respiratory diseases (J40-J47),CLRD,Louisiana,1763,43.2
2002,Chronic lower respiratory diseases (J40-J47),CLRD,South Dakota,383,43.2
2009,Cerebrovascular diseases (I60-I69),Stroke,Kansas,1416,43.2
2011,Cerebrovascular diseases (I60-I69),Stroke,North Carolina,4299,43.2
2015,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Georgia,4344,43.2
2008,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Idaho,649,43.2
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Missouri,2465,43.2
2010,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,North Carolina,4144,43.2
2015,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,United States,146571,43.2
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,West Virginia,817,43.2
2002,Chronic lower respiratory diseases (J40-J47),CLRD,Delaware,350,43.3
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Kentucky,1730,43.3
2014,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,North Dakota,349,43.3
2015,Alzheimer's disease (G30),Alzheimer's disease,Tennessee,3122,43.4
2011,Alzheimer's disease (G30),Alzheimer's disease,Washington,3138,43.4
2009,Chronic lower respiratory diseases (J40-J47),CLRD,Delaware,428,43.4
2007,Chronic lower respiratory diseases (J40-J47),CLRD,Michigan,4624,43.4
2005,Chronic lower respiratory diseases (J40-J47),CLRD,Michigan,4466,43.4
2008,Chronic lower respiratory diseases (J40-J47),CLRD,North Dakota,355,43.4
2008,Cerebrovascular diseases (I60-I69),Stroke,Illinois,5788,43.4
2008,Cerebrovascular diseases (I60-I69),Stroke,Michigan,4769,43.4
2011,Cerebrovascular diseases (I60-I69),Stroke,Missouri,3033,43.4
2007,Cerebrovascular diseases (I60-I69),Stroke,Pennsylvania,7152,43.4
2009,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Florida,8746,43.4
2007,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Idaho,641,43.4
2008,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Maine,628,43.4
2011,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Ohio,5275,43.4
2008,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,South Dakota,381,43.4
2013,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Utah,1103,43.4
2016,Chronic lower respiratory diseases (J40-J47),CLRD,Arizona,3800,43.5
2013,Chronic lower respiratory diseases (J40-J47),CLRD,Arizona,3345,43.5
2013,Chronic lower respiratory diseases (J40-J47),CLRD,Delaware,482,43.5
2012,Chronic lower respiratory diseases (J40-J47),CLRD,New Hampshire,674,43.5
2004,Chronic lower respiratory diseases (J40-J47),CLRD,South Carolina,1792,43.5
2006,Chronic lower respiratory diseases (J40-J47),CLRD,Washington,2662,43.5
2005,Cerebrovascular diseases (I60-I69),Stroke,Minnesota,2379,43.5
2009,Cerebrovascular diseases (I60-I69),Stroke,Oregon,1912,43.5
2007,Cerebrovascular diseases (I60-I69),Stroke,United States,135952,43.5
2010,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Colorado,2106,43.5
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,South Dakota,348,43.5
2009,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Vermont,308,43.5
2014,Alzheimer's disease (G30),Alzheimer's disease,Washington,3344,43.6
2013,Alzheimer's disease (G30),Alzheimer's disease,Washington,3277,43.6
2010,Alzheimer's disease (G30),Alzheimer's disease,Washington,3025,43.6
2012,Chronic lower respiratory diseases (J40-J47),CLRD,Arizona,3221,43.6
2001,Chronic lower respiratory diseases (J40-J47),CLRD,Iowa,1552,43.6
2010,Chronic lower respiratory diseases (J40-J47),CLRD,Louisiana,1939,43.6
2000,Chronic lower respiratory diseases (J40-J47),CLRD,South Dakota,383,43.6
2008,Cerebrovascular diseases (I60-I69),Stroke,Iowa,1732,43.6
2006,Cerebrovascular diseases (I60-I69),Stroke,Iowa,1718,43.6
2006,Cerebrovascular diseases (I60-I69),Stroke,Washington,2725,43.6
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Idaho,593,43.6
2012,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Kansas,1319,43.6
2009,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,North Carolina,4136,43.6
2016,Chronic lower respiratory diseases (J40-J47),CLRD,Delaware,544,43.7
2003,Chronic lower respiratory diseases (J40-J47),CLRD,United States,126382,43.7
2007,Cerebrovascular diseases (I60-I69),Stroke,California,14557,43.7
2007,Cerebrovascular diseases (I60-I69),Stroke,Oregon,1835,43.7
2014,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Delaware,425,43.7
2012,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Idaho,699,43.7
2005,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Idaho,606,43.7
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Minnesota,2697,43.8
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Utah,1211,43.8
2012,Alzheimer's disease (G30),Alzheimer's disease,Washington,3219,43.8
2015,Chronic lower respiratory diseases (J40-J47),CLRD,Arizona,3681,43.8
2003,Chronic lower respiratory diseases (J40-J47),CLRD,Texas,7567,43.8
1999,Chronic lower respiratory diseases (J40-J47),CLRD,Virginia,2699,43.8
2004,Chronic lower respiratory diseases (J40-J47),CLRD,Washington,2549,43.8
2005,Cerebrovascular diseases (I60-I69),Stroke,Maine,693,43.8
2006,Cerebrovascular diseases (I60-I69),Stroke,Maryland,2365,43.8
2007,Cerebrovascular diseases (I60-I69),Stroke,Nebraska,921,43.8
2015,Cerebrovascular diseases (I60-I69),Stroke,West Virginia,1079,43.8
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Georgia,3396,43.8
2011,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Kansas,1333,43.8
2011,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,North Carolina,4297,43.8
2004,Chronic lower respiratory diseases (J40-J47),CLRD,North Carolina,3625,43.9
2005,Chronic lower respiratory diseases (J40-J47),CLRD,United States,130933,43.9
2002,Chronic lower respiratory diseases (J40-J47),CLRD,United States,124816,43.9
2001,Chronic lower respiratory diseases (J40-J47),CLRD,United States,123013,43.9
2012,Cerebrovascular diseases (I60-I69),Stroke,Louisiana,2039,43.9
2014,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Indiana,2974,43.9
2015,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Michigan,4647,43.9
2010,Chronic lower respiratory diseases (J40-J47),CLRD,Delaware,441,44.0
2000,Chronic lower respiratory diseases (J40-J47),CLRD,Delaware,341,44.0
2008,Chronic lower respiratory diseases (J40-J47),CLRD,Louisiana,1896,44.0
2006,Chronic lower respiratory diseases (J40-J47),CLRD,South Carolina,1935,44.0
2011,Chronic lower respiratory diseases (J40-J47),CLRD,Washington,3080,44.0
2003,Cerebrovascular diseases (I60-I69),Stroke,Connecticut,1828,44.0
2009,Cerebrovascular diseases (I60-I69),Stroke,Indiana,3004,44.0
2013,Cerebrovascular diseases (I60-I69),Stroke,Louisiana,2098,44.0
2010,Cerebrovascular diseases (I60-I69),Stroke,Missouri,3001,44.0
2006,Cerebrovascular diseases (I60-I69),Stroke,South Dakota,442,44.0
2009,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Idaho,670,44.0
2010,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Kansas,1317,44.0
2015,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Massachusetts,3229,44.0
2008,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Nevada,1134,44.0
2007,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Wisconsin,2619,44.0
2015,Alzheimer's disease (G30),Alzheimer's disease,Mississippi,1402,44.1
2004,Chronic lower respiratory diseases (J40-J47),CLRD,Missouri,2731,44.1
2005,Chronic lower respiratory diseases (J40-J47),CLRD,Texas,7988,44.1
2013,Chronic lower respiratory diseases (J40-J47),CLRD,Vermont,353,44.1
2010,Cerebrovascular diseases (I60-I69),Stroke,Kentucky,1992,44.1
2004,Cerebrovascular diseases (I60-I69),Stroke,Massachusetts,3254,44.1
2008,Cerebrovascular diseases (I60-I69),Stroke,Oregon,1899,44.1
2005,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Colorado,1947,44.1
2014,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Kansas,1377,44.1
2015,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,North Dakota,368,44.1
2009,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,North Dakota,324,44.1
2012,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Rhode Island,525,44.1
2016,Alzheimer's disease (G30),Alzheimer's disease,Tennessee,3250,44.2
2003,Chronic lower respiratory diseases (J40-J47),CLRD,California,13448,44.2
2014,Chronic lower respiratory diseases (J40-J47),CLRD,Michigan,5345,44.2
2007,Chronic lower respiratory diseases (J40-J47),CLRD,New Hampshire,611,44.2
2000,Chronic lower respiratory diseases (J40-J47),CLRD,United States,122009,44.2
2011,Cerebrovascular diseases (I60-I69),Stroke,Indiana,3127,44.2
2006,Cerebrovascular diseases (I60-I69),Stroke,Pennsylvania,7151,44.2
2014,Cerebrovascular diseases (I60-I69),Stroke,South Carolina,2393,44.2
2004,Cerebrovascular diseases (I60-I69),Stroke,Wyoming,214,44.2
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Florida,7919,44.2
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Georgia,3528,44.2
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Idaho,568,44.2
2009,Chronic lower respiratory diseases (J40-J47),CLRD,Washington,2933,44.3
2005,Cerebrovascular diseases (I60-I69),Stroke,Delaware,384,44.3
2016,Cerebrovascular diseases (I60-I69),Stroke,Georgia,4349,44.3
2012,Cerebrovascular diseases (I60-I69),Stroke,Kentucky,2073,44.3
2002,Cerebrovascular diseases (I60-I69),Stroke,New Jersey,4016,44.3
2006,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Nevada,1091,44.3
2015,Alzheimer's disease (G30),Alzheimer's disease,Washington,3490,44.4
2001,Chronic lower respiratory diseases (J40-J47),CLRD,California,12965,44.4
2002,Chronic lower respiratory diseases (J40-J47),CLRD,Iowa,1580,44.4
2016,Chronic lower respiratory diseases (J40-J47),CLRD,Michigan,5572,44.4
2006,Chronic lower respiratory diseases (J40-J47),CLRD,Nebraska,878,44.4
2016,Chronic lower respiratory diseases (J40-J47),CLRD,New Mexico,1131,44.4
2000,Cerebrovascular diseases (I60-I69),Stroke,District of Columbia,252,44.4
2003,Cerebrovascular diseases (I60-I69),Stroke,Florida,9899,44.4
2013,Cerebrovascular diseases (I60-I69),Stroke,Tennessee,3157,44.4
2010,Cerebrovascular diseases (I60-I69),Stroke,Texas,9180,44.4
2008,Cerebrovascular diseases (I60-I69),Stroke,Wyoming,234,44.4
2013,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Kansas,1359,44.4
2010,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Louisiana,1999,44.4
2014,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,North Carolina,4557,44.4
2011,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Pennsylvania,6216,44.4
2014,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Vermont,322,44.4
2011,Chronic lower respiratory diseases (J40-J47),CLRD,Arizona,3166,44.5
2004,Chronic lower respiratory diseases (J40-J47),CLRD,Idaho,572,44.5
2012,Chronic lower respiratory diseases (J40-J47),CLRD,Louisiana,2074,44.5
2007,Chronic lower respiratory diseases (J40-J47),CLRD,Maine,728,44.5
2008,Cerebrovascular diseases (I60-I69),Stroke,Alaska,172,44.5
2010,Cerebrovascular diseases (I60-I69),Stroke,Indiana,3082,44.5
2007,Cerebrovascular diseases (I60-I69),Stroke,Michigan,4798,44.5
2013,Cerebrovascular diseases (I60-I69),Stroke,Oklahoma,1880,44.5
2008,Cerebrovascular diseases (I60-I69),Stroke,Virginia,3301,44.5
2009,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Colorado,2144,44.5
2015,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Oregon,1999,44.5
2010,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,South Dakota,393,44.5
2012,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Utah,1097,44.5
2008,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Vermont,306,44.5
2009,Alzheimer's disease (G30),Alzheimer's disease,Washington,3010,44.6
2008,Chronic lower respiratory diseases (J40-J47),CLRD,Alaska,181,44.6
2000,Chronic lower respiratory diseases (J40-J47),CLRD,California,12756,44.6
2007,Chronic lower respiratory diseases (J40-J47),CLRD,Iowa,1660,44.6
2005,Chronic lower respiratory diseases (J40-J47),CLRD,Louisiana,1906,44.6
2003,Chronic lower respiratory diseases (J40-J47),CLRD,Michigan,4472,44.6
2004,Cerebrovascular diseases (I60-I69),Stroke,Arizona,2446,44.6
2007,Cerebrovascular diseases (I60-I69),Stroke,Idaho,640,44.6
2003,Cerebrovascular diseases (I60-I69),Stroke,New Mexico,770,44.6
2006,Cerebrovascular diseases (I60-I69),Stroke,Wisconsin,2829,44.6
2011,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Rhode Island,541,44.6
2010,Chronic lower respiratory diseases (J40-J47),CLRD,Iowa,1698,44.7
2015,Chronic lower respiratory diseases (J40-J47),CLRD,New Mexico,1109,44.7
2013,Chronic lower respiratory diseases (J40-J47),CLRD,New Mexico,1052,44.7
2000,Chronic lower respiratory diseases (J40-J47),CLRD,Texas,7286,44.7
2008,Chronic lower respiratory diseases (J40-J47),CLRD,United States,141090,44.7
2006,Cerebrovascular diseases (I60-I69),Stroke,Hawaii,665,44.7
2007,Cerebrovascular diseases (I60-I69),Stroke,Illinois,5864,44.7
2006,Cerebrovascular diseases (I60-I69),Stroke,Nebraska,922,44.7
2015,Cerebrovascular diseases (I60-I69),Stroke,North Carolina,5033,44.7
2010,Cerebrovascular diseases (I60-I69),Stroke,North Carolina,4298,44.7
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Florida,8229,44.7
2015,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Idaho,746,44.7
2011,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Idaho,710,44.7
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Louisiana,1940,44.7
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,North Carolina,3525,44.7
2012,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Ohio,5420,44.7
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,West Virginia,834,44.7
2012,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Wisconsin,2825,44.7
2016,Alzheimer's disease (G30),Alzheimer's disease,Georgia,4021,44.8
2011,Chronic lower respiratory diseases (J40-J47),CLRD,Delaware,460,44.8
2002,Chronic lower respiratory diseases (J40-J47),CLRD,Michigan,4431,44.8
2016,Chronic lower respiratory diseases (J40-J47),CLRD,North Carolina,5311,44.8
2001,Chronic lower respiratory diseases (J40-J47),CLRD,South Carolina,1731,44.8
2011,Cerebrovascular diseases (I60-I69),Stroke,Kentucky,2064,44.8
2001,Cerebrovascular diseases (I60-I69),Stroke,New Jersey,4007,44.8
2006,Cerebrovascular diseases (I60-I69),Stroke,United States,137119,44.8
2011,Cerebrovascular diseases (I60-I69),Stroke,West Virginia,1049,44.8
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Arizona,2214,44.8
2013,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Arkansas,1373,44.8
2007,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Colorado,2056,44.8
2015,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Connecticut,1799,44.8
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,South Dakota,351,44.8
2004,Chronic lower respiratory diseases (J40-J47),CLRD,Kansas,1316,44.9
2006,Chronic lower respiratory diseases (J40-J47),CLRD,New Hampshire,603,44.9
2007,Chronic lower respiratory diseases (J40-J47),CLRD,South Carolina,2036,44.9
2009,Chronic lower respiratory diseases (J40-J47),CLRD,South Dakota,440,44.9
2004,Cerebrovascular diseases (I60-I69),Stroke,Colorado,1638,44.9
2010,Cerebrovascular diseases (I60-I69),Stroke,Louisiana,1977,44.9
2006,Cerebrovascular diseases (I60-I69),Stroke,Michigan,4752,44.9
2009,Cerebrovascular diseases (I60-I69),Stroke,Missouri,3017,44.9
2012,Cerebrovascular diseases (I60-I69),Stroke,Tennessee,3120,44.9
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Oklahoma,1580,44.9
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Oklahoma,1566,44.9
2013,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Pennsylvania,6359,44.9
2007,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Vermont,303,44.9
2016,Alzheimer's disease (G30),Alzheimer's disease,Alabama,2507,45.0
2016,Alzheimer's disease (G30),Alzheimer's disease,Louisiana,2195,45.0
2012,Chronic lower respiratory diseases (J40-J47),CLRD,Georgia,3977,45.0
2009,Chronic lower respiratory diseases (J40-J47),CLRD,Michigan,4961,45.0
2000,Chronic lower respiratory diseases (J40-J47),CLRD,Nebraska,838,45.0
2007,Chronic lower respiratory diseases (J40-J47),CLRD,Vermont,316,45.0
2004,Chronic lower respiratory diseases (J40-J47),CLRD,Vermont,296,45.0
2003,Chronic lower respiratory diseases (J40-J47),CLRD,Virginia,2983,45.0
2004,Cerebrovascular diseases (I60-I69),Stroke,Vermont,302,45.0
2005,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Georgia,3762,45.0
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Georgia,3667,45.0
2013,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Ohio,5497,45.0
2012,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Pennsylvania,6334,45.0
2011,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,South Dakota,411,45.0
2007,Chronic lower respiratory diseases (J40-J47),CLRD,Georgia,3384,45.1
2007,Chronic lower respiratory diseases (J40-J47),CLRD,New Mexico,884,45.1
2014,Chronic lower respiratory diseases (J40-J47),CLRD,North Carolina,5023,45.1
2011,Chronic lower respiratory diseases (J40-J47),CLRD,Oregon,2023,45.1
2008,Chronic lower respiratory diseases (J40-J47),CLRD,Texas,8874,45.1
2000,Chronic lower respiratory diseases (J40-J47),CLRD,Virginia,2820,45.1
2005,Cerebrovascular diseases (I60-I69),Stroke,Wyoming,221,45.1
2012,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Arizona,3029,45.1
2006,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Georgia,3879,45.1
2006,Chronic lower respiratory diseases (J40-J47),CLRD,Iowa,1655,45.2
2012,Chronic lower respiratory diseases (J40-J47),CLRD,Michigan,5251,45.2
2008,Cerebrovascular diseases (I60-I69),Stroke,Ohio,5951,45.2
2009,Cerebrovascular diseases (I60-I69),Stroke,Texas,9137,45.2
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Nevada,1021,45.2
2016,Alzheimer's disease (G30),Alzheimer's disease,South Carolina,2481,45.3
2011,Chronic lower respiratory diseases (J40-J47),CLRD,Georgia,3837,45.3
2000,Chronic lower respiratory diseases (J40-J47),CLRD,Michigan,4352,45.3
1999,Chronic lower respiratory diseases (J40-J47),CLRD,Michigan,4316,45.3
2010,Chronic lower respiratory diseases (J40-J47),CLRD,Oregon,1971,45.3
2009,Chronic lower respiratory diseases (J40-J47),CLRD,Oregon,1943,45.3
2015,Chronic lower respiratory diseases (J40-J47),CLRD,South Dakota,502,45.3
2010,Chronic lower respiratory diseases (J40-J47),CLRD,Vermont,335,45.3
2015,Cerebrovascular diseases (I60-I69),Stroke,Georgia,4335,45.3
2014,Cerebrovascular diseases (I60-I69),Stroke,West Virginia,1103,45.3
2008,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Florida,8939,45.3
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,North Carolina,3700,45.3
2013,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Rhode Island,537,45.3
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,North Dakota,371,45.4
2013,Chronic lower respiratory diseases (J40-J47),CLRD,Georgia,4172,45.4
2012,Chronic lower respiratory diseases (J40-J47),CLRD,Maine,817,45.4
2009,Chronic lower respiratory diseases (J40-J47),CLRD,North Carolina,4329,45.4
1999,Chronic lower respiratory diseases (J40-J47),CLRD,United States,124181,45.4
2005,Chronic lower respiratory diseases (J40-J47),CLRD,Washington,2699,45.4
2014,Cerebrovascular diseases (I60-I69),Stroke,Arkansas,1583,45.4
2007,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Georgia,4012,45.4
2015,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Nevada,1340,45.4
2000,Chronic lower respiratory diseases (J40-J47),CLRD,Alabama,2057,45.5
2007,Chronic lower respiratory diseases (J40-J47),CLRD,Alaska,175,45.5
2008,Chronic lower respiratory diseases (J40-J47),CLRD,Arizona,2939,45.5
2008,Chronic lower respiratory diseases (J40-J47),CLRD,Georgia,3546,45.5
2014,Chronic lower respiratory diseases (J40-J47),CLRD,Louisiana,2237,45.5
2011,Chronic lower respiratory diseases (J40-J47),CLRD,Michigan,5192,45.5
2015,Chronic lower respiratory diseases (J40-J47),CLRD,North Carolina,5221,45.5
2011,Chronic lower respiratory diseases (J40-J47),CLRD,Vermont,349,45.5
2003,Cerebrovascular diseases (I60-I69),Stroke,Arizona,2428,45.5
2007,Cerebrovascular diseases (I60-I69),Stroke,Ohio,5905,45.5
2016,Cerebrovascular diseases (I60-I69),Stroke,South Carolina,2627,45.5
2009,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Arizona,2919,45.5
2014,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Utah,1167,45.5
2014,Chronic lower respiratory diseases (J40-J47),CLRD,Georgia,4332,45.6
2010,Chronic lower respiratory diseases (J40-J47),CLRD,Michigan,5079,45.6
2009,Chronic lower respiratory diseases (J40-J47),CLRD,New Hampshire,652,45.6
2001,Chronic lower respiratory diseases (J40-J47),CLRD,North Carolina,3514,45.6
2006,Chronic lower respiratory diseases (J40-J47),CLRD,Oregon,1828,45.6
2008,Chronic lower respiratory diseases (J40-J47),CLRD,Washington,2930,45.6
2016,Cerebrovascular diseases (I60-I69),Stroke,Arkansas,1643,45.6
2014,Cerebrovascular diseases (I60-I69),Stroke,Louisiana,2230,45.6
2004,Cerebrovascular diseases (I60-I69),Stroke,New Hampshire,586,45.6
2000,Cerebrovascular diseases (I60-I69),Stroke,Rhode Island,577,45.6
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Idaho,605,45.6
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Missouri,2641,45.6
2015,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Utah,1223,45.6
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Kansas,1444,45.7
2004,Chronic lower respiratory diseases (J40-J47),CLRD,Georgia,3125,45.7
2016,Chronic lower respiratory diseases (J40-J47),CLRD,Idaho,865,45.7
2012,Chronic lower respiratory diseases (J40-J47),CLRD,South Dakota,481,45.7
2002,Chronic lower respiratory diseases (J40-J47),CLRD,Texas,7720,45.7
